Customer_No,Prediction,Probability_Prediction
90000,0,0.39
90001,0,0.26
90002,0,0.07
90003,0,0.15
90004,0,0.26
90005,0,0.2
90006,0,0.14
90007,0,0.31
90008,0,0.39
90009,0,0.16
90010,0,0.48
90011,0,0.27
90012,0,0.5
90013,0,0.14
90014,0,0.44
90015,1,0.64
90016,0,0.18
90017,0,0.02
90018,0,0.15
90019,0,0.42
90020,0,0.21
90021,0,0.16
90022,0,0.18
90023,0,0.23
90024,0,0.2
90025,0,0.25
90026,0,0.17
90027,0,0.44
90028,0,0.26
90029,0,0.21
90030,0,0.32
90031,0,0.16
90032,1,0.64
90033,0,0.3
90034,0,0.42
90035,0,0.22
90036,0,0.46
90037,1,0.54
90038,0,0.12
90039,0,0.14
90040,0,0.2
90041,0,0.18
90042,0,0.26
90043,0,0.4
90044,0,0.02
90045,0,0.26
90046,0,0.39
90047,0,0.22
90048,0,0.44
90049,0,0.3
90050,0,0.13
90051,0,0.19
90052,0,0.12
90053,0,0.03
90054,0,0.23
90055,0,0.32
90056,0,0.15
90057,0,0.24
90058,0,0.24
90059,0,0.29
90060,0,0.18
90061,0,0.12
90062,0,0.5
90063,0,0.22
90064,0,0.2
90065,0,0.35
90066,0,0.22
90067,0,0.36
90068,0,0.07
90069,0,0.18
90070,0,0.1
90071,0,0.38
90072,0,0.3
90073,0,0.22
90074,0,0.38
90075,0,0.23
90076,0,0.28
90077,0,0.32
90078,0,0.26
90079,0,0.18
90080,0,0.4
90081,1,0.63
90082,0,0.08
90083,0,0.16
90084,0,0.14
90085,0,0.03
90086,0,0.34
90087,0,0.16
90088,0,0.26
90089,0,0.3
90090,0,0.3
90091,0,0.04
90092,0,0.33
90093,0,0.48
90094,0,0.14
90095,0,0.38
90096,0,0.2
90097,0,0.27
90098,0,0.26
90099,0,0.14
90100,0,0.2
90101,0,0.28
90102,0,0.23
90103,0,0.18
90104,0,0.44
90105,0,0.26
90106,0,0.11
90107,0,0.28
90108,0,0.43
90109,0,0.12
90110,0,0.04
90111,0,0.17
90112,0,0.23
90113,0,0.27
90114,0,0.22
90115,0,0.38
90116,0,0.1
90117,0,0.43
90118,0,0.28
90119,0,0.22
90120,0,0.16
90121,0,0.12
90122,0,0.16
90123,0,0.17
90124,0,0.08
90125,0,0.4
90126,0,0.14
90127,0,0.32
90128,0,0.27
90129,0,0.26
90130,0,0.19
90131,0,0.12
90132,0,0.08
90133,1,0.66
90134,0,0.2
90135,1,0.64
90136,0,0.14
90137,0,0.24
90138,1,0.64
90139,0,0.04
90140,0,0.14
90141,0,0.36
90142,0,0.26
90143,0,0.09
90144,0,0.11
90145,0,0.3
90146,0,0.2
90147,0,0.29
90148,0,0.3
90149,0,0.17
90150,0,0.2
90151,1,0.66
90152,1,0.52
90153,0,0.3
90154,0,0.29
90155,0,0.35
90156,0,0.38
90157,0,0.36
90158,0,0.22
90159,0,0.2
90160,0,0.1
90161,0,0.34
90162,0,0.16
90163,0,0.26
90164,1,0.55
90165,0,0.28
90166,0,0.16
90167,0,0.15
90168,0,0.4
90169,0,0.32
90170,0,0.14
90171,0,0.24
90172,0,0.36
90173,0,0.14
90174,0,0.1
90175,0,0.24
90176,0,0.1
90177,0,0.24
90178,0,0.2
90179,0,0.28
90180,0,0.34
90181,0,0.12
90182,0,0.23
90183,0,0.06
90184,0,0.11
90185,0,0.42
90186,0,0.1
90187,1,0.68
90188,0,0.23
90189,0,0.19
90190,0,0.44
90191,0,0.2
90192,0,0.11
90193,0,0.12
90194,0,0.26
90195,0,0.26
90196,0,0.38
90197,0,0.13
90198,0,0.25
90199,0,0.02
90200,0,0.21
90201,0,0.12
90202,0,0.3
90203,0,0.14
90204,0,0.42
90205,0,0.16
90206,0,0.26
90207,0,0.18
90208,0,0.26
90209,0,0.36
90210,0,0.24
90211,0,0.12
90212,0,0.03
90213,0,0.32
90214,0,0.28
90215,0,0.18
90216,0,0.22
90217,0,0.2
90218,0,0.17
90219,0,0.24
90220,0,0.32
90221,0,0.36
90222,1,0.66
90223,0,0.38
90224,0,0.36
90225,1,0.58
90226,0,0.23
90227,0,0.14
90228,0,0.22
90229,0,0.36
90230,0,0.02
90231,0,0.14
90232,0,0.24
90233,0,0.18
90234,0,0.41
90235,0,0.3
90236,1,0.54
90237,0,0.16
